ticker,sector
NVDA,Technology
AAPL,Technology
MSFT,Technology
AMZN,Consumer Discretionary
GOOGL,Communication Services
META,Communication Services
AVGO,Technology
TSLA,Consumer Discretionary
WMT,Consumer Staples
LLY,Health Care
JPM,Financials
V,Financials
XOM,Energy
JNJ,Health Care
MA,Financials
COST,Consumer Staples
ORCL,Technology
BAC,Financials
ABBV,Health Care
HD,Consumer Discretionary
PG,Consumer Staples
CVX,Energy
NFLX,Communication Services
KO,Consumer Staples
CAT,Industrials
AMD,Technology
GE,Industrials
CSCO,Technology
PLTR,Technology
MRK,Health Care
WFC,Financials
MS,Financials
PM,Consumer Staples
IBM,Technology
GS,Financials
RTX,Industrials
INTC,Technology
UNH,Health Care
AXP,Financials
PEP,Consumer Staples
MCD,Consumer Discretionary
TMUS,Communication Services
C,Financials
LIN,Materials
AMGN,Health Care
TMO,Health Care
TXN,Technology
VZ,Communication Services
ABT,Health Care
DIS,Communication Services
T,Communication Services
BA,Industrials
GILD,Health Care
SCHW,Financials
NEE,Utilities
CRM,Technology
ISRG,Health Care
TJX,Consumer Discretionary
BLK,Financials
DE,Industrials
ADI,Technology
LOW,Consumer Discretionary
UBER,Industrials
PFE,Health Care
DHR,Health Care
HON,Industrials
UNP,Industrials
ACN,Technology
QCOM,Technology
ETN,Industrials
BKNG,Consumer Discretionary
LMT,Industrials
COF,Financials
SYK,Health Care
SPGI,Financials
MDT,Health Care
COP,Energy
CB,Financials
PLD,Real Estate
BMY,Health Care
NEM,Materials
INTU,Technology
PH,Industrials
VRTX,Health Care
PGR,Financials
MCK,Health Care
HCA,Health Care
SBUX,Consumer Discretionary
BSX,Health Care
CMCSA,Communication Services
ADBE,Technology
MO,Consumer Staples
CME,Financials
NOW,Technology
BX,Financials
TT,Industrials
NOC,Industrials
UPS,Industrials
CVS,Health Care
SO,Utilities
PNC,Financials
GD,Industrials
ICE,Financials
DUK,Utilities
CEG,Utilities
NKE,Consumer Discretionary
USB,Financials
RCL,Consumer Discretionary
ADP,Industrials
WM,Industrials
SHW,Materials
MAR,Consumer Discretionary
EMR,Industrials
FCX,Materials
FDX,Industrials
BK,Financials
ITW,Industrials
EQIX,Real Estate
REGN,Health Care
ECL,Materials
WMB,Energy
MCO,Financials
MNST,Consumer Staples
AMT,Real Estate
CMI,Industrials
ORLY,Consumer Discretionary
CTAS,Industrials
CI,Health Care
MDLZ,Consumer Staples
GM,Consumer Discretionary
CL,Consumer Staples
SLB,Energy
PWR,Industrials
CSX,Industrials
AON,Financials
HLT,Consumer Discretionary
TFC,Financials
MSI,Technology
NSC,Industrials
RSG,Industrials
KMI,Energy
PCAR,Industrials
TRV,Financials
SPG,Real Estate
AEP,Utilities
PSX,Energy
APD,Materials
AJG,Financials
VLO,Energy
ROST,Consumer Discretionary
EOG,Energy
AZO,Consumer Discretionary
AFL,Financials
MPC,Energy
BDX,Health Care
DLR,Real Estate
O,Real Estate
SRE,Utilities
GWW,Industrials
URI,Industrials
NXPI,Technology
ZTS,Health Care
F,Consumer Discretionary
FAST,Industrials
ALL,Financials
AME,Industrials
CAH,Health Care
D,Utilities
TGT,Consumer Discretionary
OKE,Energy
CMG,Consumer Discretionary
ADSK,Technology
PSA,Real Estate
MET,Financials
EA,Communication Services
DAL,Industrials
FANG,Energy
OXY,Energy
DHI,Consumer Discretionary
YUM,Consumer Discretionary
XEL,Utilities
EXC,Utilities
NUE,Materials
KR,Consumer Staples
ODFL,Industrials
SYY,Consumer Staples
MCHP,Technology
MSCI,Financials
ED,Utilities
PYPL,Financials
CTSH,Technology
A,Health Care
MTB,Financials
PRU,Financials
PAYX,Industrials
KMB,Consumer Staples
FISV,Financials
ADM,Consumer Staples
DOV,Industrials
STLD,Materials
BIIB,Health Care
HAL,Energy
KHC,Consumer Staples
STZ,Consumer Staples
PPG,Materials
IRM,Real Estate
LEN,Consumer Discretionary
DVN,Energy
FIS,Financials
RF,Financials
ON,Technology
GIS,Consumer Staples
DRI,Consumer Discretionary
EIX,Utilities
AVB,Real Estate
EQR,Real Estate
AWK,Utilities
CHD,Consumer Staples
EFX,Industrials
LH,Health Care
TSN,Consumer Staples
DOW,Materials
CMS,Utilities
OMC,Communication Services
GPC,Consumer Discretionary
DD,Materials
HPQ,Technology
BALL,Materials
LYB,Materials
TXT,Industrials
